"MEASURE","Measure","INDEX","Index type","SECTOR","Sector","INDUSTRY","Industry","REGION","Region","TSEST","Adjustment type","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2014-Q1","Mar-2014",117.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2014-Q2","Jun-2014",118.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2014-Q3","Sep-2014",119.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2014-Q4","Dec-2014",120,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2015-Q1","Mar-2015",120.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2015-Q2","Jun-2015",121.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2015-Q3","Sep-2015",122.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2015-Q4","Dec-2015",122.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2016-Q1","Mar-2016",123.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2016-Q2","Jun-2016",123.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2016-Q3","Sep-2016",124.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2016-Q4","Dec-2016",124.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","2017-Q1","Mar-2017",125.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","3","Queensland","10","Original","Q","Quarterly","1997-Q3","Sep-1997",67.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","3","Queensland","10","Original","Q","Quarterly","1997-Q4","Dec-1997",68.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","3","Queensland","10","Original","Q","Quarterly","1998-Q1","Mar-1998",68.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","3","Queensland","10","Original","Q","Quarterly","1998-Q2","Jun-1998",68.8,,
